taxon_key,taxon_name,common_name,genus,species
600884,Carcharhinus sorrah,Spottail shark,Carcharhinus,sorrah
600886,Galeocerdo cuvier,Tiger shark,Galeocerdo,cuvier
600898,Prionace glauca,Blue shark,Prionace,glauca
600912,Sphyrna lewini,Scalloped hammerhead,Sphyrna,lewini
600917,Sphyrna zygaena,Smooth hammerhead,Sphyrna,zygaena
600950,Platycephalus indicus,Bartail flathead,Platycephalus,indicus
600977,Tylosurus crocodilus,Hound needlefish,Tylosurus,crocodilus
601002,Pseudocaranx dentex,White trevally,Pseudocaranx,dentex
601005,Seriola dumerili,Greater amberjack,Seriola,dumerili
601042,Lepidocybium flavobrunneum,Escolar,Lepidocybium,flavobrunneum
601044,Ruvettus pretiosus,Oilfish,Ruvettus,pretiosus
601072,Lampris guttatus,Opah,Lampris,guttatus
601077,Lobotes surinamensis,Tripletail,Lobotes,surinamensis
601235,Sphyraena barracuda,Great barracuda,Sphyraena,barracuda
601260,Acanthurus triostegus,Convict surgeonfish,Acanthurus,triostegus
601265,Naso unicornis,Bluespine unicornfish,Naso,unicornis
601288,Trichiurus lepturus,Largehead hairtail,Trichiurus,lepturus
601300,Ariomma indicum,Indian driftfish,Ariomma,indicum
601319,Beryx decadactylus,Alfonsino,Beryx,decadactylus
601320,Beryx splendens,Splendid alfonsino,Beryx,splendens
601370,Zeus faber,John dory,Zeus,faber
601407,Lutjanus argentimaculatus,Mangrove red snapper,Lutjanus,argentimaculatus
601417,Lutjanus bohar,Two-spot red snapper,Lutjanus,bohar
601453,Dussumieria acuta,Rainbow sardine,Dussumieria,acuta
601454,Dussumieria elopsoides,Slender rainbow sardine,Dussumieria,elopsoides
601458,Spratelloides gracilis,Silverstriped round herring,Spratelloides,gracilis
601477,Sardinops sagax,Pacific sardine,Sardinops,sagax
601494,Herklotsichthys quadrimaculatus,Bluestripe herring,Herklotsichthys,quadrimaculatus
601507,Sardinella fimbriata,Fringescale sardinella,Sardinella,fimbriata
601508,Sardinella gibbosa,Goldstripe sardinella,Sardinella,gibbosa
601510,Sardinella lemuru,Bali sardinella,Sardinella,lemuru
601595,Hilsa kelee,Kelee shad,Hilsa,kelee
601600,Tenualosa toli,Toli shad,Tenualosa,toli
601608,Clupanodon thrissa,Chinese gizzard shad,Clupanodon,thrissa
601619,Anodontostoma chacunda,Chacunda gizzard shad,Anodontostoma,chacunda
601627,Ilisha elongata,Elongate ilisha,Ilisha,elongata
601641,Pellona ditchela,Indian pellona,Pellona,ditchela
601732,Mola mola,Ocean sunfish,Mola,mola
601734,Mora moro,Common mora,Mora,moro
601825,Macruronus novaezelandiae,Blue grenadier,Macruronus,novaezelandiae
